crime_type,station,district,province,District.1,Province.1,Province.2,LISTS OF STATIONS PER,,01,January,Population figures
,Seshego,Capricorn District,Limpopo,,,,,,,,
,Tolwe,Capricorn District,Limpopo,,,,,,,,
,Westenburg,Capricorn District,Limpopo,,,,,,,,
,Zebediela,Capricorn District,Limpopo,,,,,,,,
,Bolobedu,Mopani District,Limpopo,,,,,,,,
,Giyani,Mopani District,Limpopo,,,,,,,,
,Gravelotte,Mopani District,Limpopo,,,,,,,,
,Haenertsburg,Mopani District,Limpopo,,,,,,,,
,Hlanganani,Mopani District,Limpopo,,,,,,,,
,Hoedspruit,Mopani District,Limpopo,,,,,,,,
,Letsitele,Mopani District,Limpopo,,,,,,,,
,Lulekani,Mopani District,Limpopo,,,,,,,,
,Maake,Mopani District,Limpopo,,,,,,,,
,Modjadjiskloof,Mopani District,Limpopo,,,,,,,,
,Mokwakwaila,Mopani District,Limpopo,,,,,,,,
,Muyexe,Mopani District,Limpopo,,,,,,,,
,Namakgale,Mopani District,Limpopo,,,,,,,,
,Phalaborwa,Mopani District,Limpopo,,,,,,,,
,Ritavi,Mopani District,Limpopo,,,,,,,,
,Sekgosese,Mopani District,Limpopo,,,,,,,,
,Tzaneen,Mopani District,Limpopo,,,,,,,,
,Apel,Sekhukhune District,Limpopo,,,,,,,,
,Burgersfort,Sekhukhune District,Limpopo,,,,,,,,
,Dennilton,Sekhukhune District,Limpopo,,,,,,,,
,Driekop,Sekhukhune District,Limpopo,,,,,,,,
,Elandskraal,Sekhukhune District,Limpopo,,,,,,,,
,Groblersdal,Sekhukhune District,Limpopo,,,,,,,,
,Hlogotlou,Sekhukhune District,Limpopo,,,,,,,,
,Jane Furse,Sekhukhune District,Limpopo,,,,,,,,
,Leboeng,Sekhukhune District,Limpopo,,,,,,,,
,Marble Hall,Sekhukhune District,Limpopo,,,,,,,,
,Masemola,Sekhukhune District,Limpopo,,,,,,,,
,Matlelerekeng,Sekhukhune District,Limpopo,,,,,,,,
,Mecklenburg,Sekhukhune District,Limpopo,,,,,,,,
,Motetema,Sekhukhune District,Limpopo,,,,,,,,
,Nebo,Sekhukhune District,Limpopo,,,,,,,,
,Ohrigstad,Sekhukhune District,Limpopo,,,,,,,,
,Rakgoadi,Sekhukhune District,Limpopo,,,,,,,,
,Roossenekal,Sekhukhune District,Limpopo,,,,,,,,
,Sekhukhune,Sekhukhune District,Limpopo,,,,,,,,
,Tubatse,Sekhukhune District,Limpopo,,,,,,,,
,Zaaiplaas,Sekhukhune District,Limpopo,,,,,,,,
,Bandelierkop,Vhembe District,Limpopo,,,,,,,,
,Levubu,Vhembe District,Limpopo,,,,,,,,
,Makhado,Vhembe District,Limpopo,,,,,,,,
,Makuya,Vhembe District,Limpopo,,,,,,,,
,Malamulele,Vhembe District,Limpopo,,,,,,,,
,Mara,Vhembe District,Limpopo,,,,,,,,
,Masisi,Vhembe District,Limpopo,,,,,,,,
,Mphephu,Vhembe District,Limpopo,,,,,,,,
,Musina,Vhembe District,Limpopo,,,,,,,,
,Muswodi,Vhembe District,Limpopo,,,,,,,,
,Mutale,Vhembe District,Limpopo,,,,,,,,
,Saselamani,Vhembe District,Limpopo,,,,,,,,
,Siloam,Vhembe District,Limpopo,,,,,,,,
,Thohoyandou,Vhembe District,Limpopo,,,,,,,,
,Tshamutumbu,Vhembe District,Limpopo,,,,,,,,
,Tshaulu,Vhembe District,Limpopo,,,,,,,,
,Tshilwavhusiku,Vhembe District,Limpopo,,,,,,,,
,Tshitale,Vhembe District,Limpopo,,,,,,,,
,Vhulaudzi,Vhembe District,Limpopo,,,,,,,,
,Vuwani,Vhembe District,Limpopo,,,,,,,,
,Waterpoort,Vhembe District,Limpopo,,,,,,,,
,Waterval,Vhembe District,Limpopo,,,,,,,,
,Bela-Bela,Waterberg District,Limpopo,,,,,,,,
,Bulgerivier,Waterberg District,Limpopo,,,,,,,,
,Cumberland,Waterberg District,Limpopo,,,,,,,,
,Dorset,Waterberg District,Limpopo,,,,,,,,
,Dwaalboom,Waterberg District,Limpopo,,,,,,,,
,Gilead,Waterberg District,Limpopo,,,,,,,,
,Hoopdal,Waterberg District,Limpopo,,,,,,,,
,Lephalale,Waterberg District,Limpopo,,,,,,,,
,Mahwelereng,Waterberg District,Limpopo,,,,,,,,
,Modimolle,Waterberg District,Limpopo,,,,,,,,
,Mokopane,Waterberg District,Limpopo,,,,,,,,
,Naboomspruit,Waterberg District,Limpopo,,,,,,,,
,Northam,Waterberg District,Limpopo,,,,,,,,
,Pienaarsrivier,Waterberg District,Limpopo,,,,,,,,
,Rankin's Pass,Waterberg District,Limpopo,,,,,,,,
,Roedtan,Waterberg District,Limpopo,,,,,,,,
,Rooiberg,Waterberg District,Limpopo,,,,,,,,
,Rust De Winter,Waterberg District,Limpopo,,,,,,,,
,Thabazimbi,Waterberg District,Limpopo,,,,,,,,
,Tinmyne,Waterberg District,Limpopo,,,,,,,,
,Tom Burke,Waterberg District,Limpopo,,,,,,,,
,Tuinplaas,Waterberg District,Limpopo,,,,,,,,
,Vaalwater,Waterberg District,Limpopo,,,,,,,,
,Villa Nora,Waterberg District,Limpopo,,,,,,,,
,Witpoort,Waterberg District,Limpopo,,,,,,,,
,Acornhoek,Ehlanzeni District,Mpumalanga,,,,,,,,
,Barberton,Ehlanzeni District,Mpumalanga,,,,,,,,
,Bushbuckridge,Ehlanzeni District,Mpumalanga,,,,,,,,
,Calcutta,Ehlanzeni District,Mpumalanga,,,,,,,,
,Dientjie,Ehlanzeni District,Mpumalanga,,,,,,,,
,Graskop,Ehlanzeni District,Mpumalanga,,,,,,,,
,Hazyview,Ehlanzeni District,Mpumalanga,,,,,,,,
,Kaapmuiden,Ehlanzeni District,Mpumalanga,,,,,,,,
,Kabokweni,Ehlanzeni District,Mpumalanga,,,,,,,,
,Kamhlushwa,Ehlanzeni District,Mpumalanga,,,,,,,,
,Kanyamazane,Ehlanzeni District,Mpumalanga,,,,,,,,
,Komatipoort,Ehlanzeni District,Mpumalanga,,,,,,,,
,Low's Creek,Ehlanzeni District,Mpumalanga,,,,,,,,
,Lydenburg,Ehlanzeni District,Mpumalanga,,,,,,,,
,Maartenshoop,Ehlanzeni District,Mpumalanga,,,,,,,,
,Malelane,Ehlanzeni District,Mpumalanga,,,,,,,,
,Masoyi,Ehlanzeni District,Mpumalanga,,,,,,,,
,Matsulu,Ehlanzeni District,Mpumalanga,,,,,,,,
,Mbuzini,Ehlanzeni District,Mpumalanga,,,,,,,,
,Mhala,Ehlanzeni District,Mpumalanga,,,,,,,,
,Nelspruit,Ehlanzeni District,Mpumalanga,,,,,,,,
,Ngodwana,Ehlanzeni District,Mpumalanga,,,,,,,,
,Pienaar,Ehlanzeni District,Mpumalanga,,,,,,,,
,Pilgrim's Rest,Ehlanzeni District,Mpumalanga,,,,,,,,
,Sabie,Ehlanzeni District,Mpumalanga,,,,,,,,
,Schoemansdal,Ehlanzeni District,Mpumalanga,,,,,,,,
,Skukuza,Ehlanzeni District,Mpumalanga,,,,,,,,
,Tonga,Ehlanzeni District,Mpumalanga,,,,,,,,
,Witrivier,Ehlanzeni District,Mpumalanga,,,,,,,,
,Amersfoort,Gert Sibande District,Mpumalanga,,,,,,,,
,Amsterdam,Gert Sibande District,Mpumalanga,,,,,,,,
,Badplaas,Gert Sibande District,Mpumalanga,,,,,,,,
,Balfour TVL,Gert Sibande District,Mpumalanga,,,,,,,,
,Bethal,Gert Sibande District,Mpumalanga,,,,,,,,
,Breyten,Gert Sibande District,Mpumalanga,,,,,,,,
,Carolina,Gert Sibande District,Mpumalanga,,,,,,,,
,Charl Cilliers,Gert Sibande District,Mpumalanga,,,,,,,,
,Chrissiesmeer,Gert Sibande District,Mpumalanga,,,,,,,,
,Daggakraal,Gert Sibande District,Mpumalanga,,,,,,,,
,Davel,Gert Sibande District,Mpumalanga,,,,,,,,
,Dirkiesdorp,Gert Sibande District,Mpumalanga,,,,,,,,
,Ekulindeni,Gert Sibande District,Mpumalanga,,,,,,,,
,Elukwatini,Gert Sibande District,Mpumalanga,,,,,,,,
,Embalenhle,Gert Sibande District,Mpumalanga,,,,,,,,
,Emzinoni,Gert Sibande District,Mpumalanga,,,,,,,,
,Ermelo,Gert Sibande District,Mpumalanga,,,,,,,,
,Evander,Gert Sibande District,Mpumalanga,,,,,,,,
,Fernie,Gert Sibande District,Mpumalanga,,,,,,,,
,Greylingstad,Gert Sibande District,Mpumalanga,,,,,,,,
,Grootvlei,Gert Sibande District,Mpumalanga,,,,,,,,
,Hartebeeskop,Gert Sibande District,Mpumalanga,,,,,,,,
,Kinross,Gert Sibande District,Mpumalanga,,,,,,,,
,Leslie,Gert Sibande District,Mpumalanga,,,,,,,,
,Lothair,Gert Sibande District,Mpumalanga,,,,,,,,
,Mahamba,Gert Sibande District,Mpumalanga,,,,,,,,
,Mayflower,Gert Sibande District,Mpumalanga,,,,,,,,
,Morgenzon Transvaal,Gert Sibande District,Mpumalanga,,,,,,,,
,Perdekop,Gert Sibande District,Mpumalanga,,,,,,,,
,Piet Retief,Gert Sibande District,Mpumalanga,,,,,,,,
,Sakhile,Gert Sibande District,Mpumalanga,,,,,,,,
,Secunda,Gert Sibande District,Mpumalanga,,,,,,,,
,Sheepmoor,Gert Sibande District,Mpumalanga,,,,,,,,
,Standerton,Gert Sibande District,Mpumalanga,,,,,,,,
,Trichardt,Gert Sibande District,Mpumalanga,,,,,,,,
,Val,Gert Sibande District,Mpumalanga,,,,,,,,
,Volksrust,Gert Sibande District,Mpumalanga,,,,,,,,
,Wakkerstroom,Gert Sibande District,Mpumalanga,,,,,,,,
,Belfast,Nkangala District,Mpumalanga,,,,,,,,
,Blinkpan,Nkangala District,Mpumalanga,,,,,,,,
,Delmas,Nkangala District,Mpumalanga,,,,,,,,
,Dullstroom,Nkangala District,Mpumalanga,,,,,,,,
,Hendrina,Nkangala District,Mpumalanga,,,,,,,,
,Kriel,Nkangala District,Mpumalanga,,,,,,,,
,Kwaggafontein,Nkangala District,Mpumalanga,,,,,,,,
,KwaMhlanga,Nkangala District,Mpumalanga,,,,,,,,
,Laersdrift,Nkangala District,Mpumalanga,,,,,,,,
,Machadodorp,Nkangala District,Mpumalanga,,,,,,,,
,Mhluzi,Nkangala District,Mpumalanga,,,,,,,,
,Middelburg Mpumalang,Nkangala District,Mpumalanga,,,,,,,,
,Mmametlake,Nkangala District,Mpumalanga,,,,,,,,
,Ogies,Nkangala District,Mpumalanga,,,,,,,,
,Phola,Nkangala District,Mpumalanga,,,,,,,,
,Siyabuswa,Nkangala District,Mpumalanga,,,,,,,,
,Sundra,Nkangala District,Mpumalanga,,,,,,,,
,Tweefontein,Nkangala District,Mpumalanga,,,,,,,,
,Vaalbank,Nkangala District,Mpumalanga,,,,,,,,
,Verena,Nkangala District,Mpumalanga,,,,,,,,
,Vosman,Nkangala District,Mpumalanga,,,,,,,,
,Waterval Boven,Nkangala District,Mpumalanga,,,,,,,,
,Witbank,Nkangala District,Mpumalanga,,,,,,,,
,Assen,Bojanala District,North West,,,,,,,,
,Bedwang,Bojanala District,North West,,,,,,,,
,Bethanie,Bojanala District,North West,,,,,,,,
,Boitekong,Bojanala District,North West,,,,,,,,
,Boons,Bojanala District,North West,,,,,,,,
,Brits,Bojanala District,North West,,,,,,,,
,Cyferskuil,Bojanala District,North West,,,,,,,,
,Dwarsberg,Bojanala District,North West,,,,,,,,
,Hartbeespoortdam,Bojanala District,North West,,,,,,,,
,Hebron,Bojanala District,North West,,,,,,,,
,Jericho,Bojanala District,North West,,,,,,,,
,Klipgat,Bojanala District,North West,,,,,,,,
,Koster,Bojanala District,North West,,,,,,,,
,Lethabong,Bojanala District,North West,,,,,,,,
,Letlhabile,Bojanala District,North West,,,,,,,,
,Mabeskraal,Bojanala District,North West,,,,,,,,
,Madikwe,Bojanala District,North West,,,,,,,,
,Makapanstad,Bojanala District,North West,,,,,,,,
,Marikana,Bojanala District,North West,,,,,,,,
,Mmakau,Bojanala District,North West,,,,,,,,
,Moeka Vuma,Bojanala District,North West,,,,,,,,
,Mogwase,Bojanala District,North West,,,,,,,,
,Mooinooi,Bojanala District,North West,,,,,,,,
,Mothotlung,Bojanala District,North West,,,,,,,,
,Phokeng,Bojanala District,North West,,,,,,,,
,Rustenburg,Bojanala District,North West,,,,,,,,
,Sun City,Bojanala District,North West,,,,,,,,
,Swartruggens,Bojanala District,North West,,,,,,,,
,Tlhabane,Bojanala District,North West,,,,,,,,
,Buffelshoek,Dr Kenneth Kaunda District,North West,,,,,,,,
,Hartbeesfontein,Dr Kenneth Kaunda District,North West,,,,,,,,
,Ikageng,Dr Kenneth Kaunda District,North West,,,,,,,,
,Jouberton,Dr Kenneth Kaunda District,North West,,,,,,,,
,Kanana,Dr Kenneth Kaunda District,North West,,,,,,,,
,Khuma,Dr Kenneth Kaunda District,North West,,,,,,,,
,Klerksdorp,Dr Kenneth Kaunda District,North West,,,,,,,,
,Klerkskraal,Dr Kenneth Kaunda District,North West,,,,,,,,
,Leeudoringstad,Dr Kenneth Kaunda District,North West,,,,,,,,
,Makwassie,Dr Kenneth Kaunda District,North West,,,,,,,,
,Orkney,Dr Kenneth Kaunda District,North West,,,,,,,,
,Potchefstroom,Dr Kenneth Kaunda District,North West,,,,,,,,
,Stilfontein,Dr Kenneth Kaunda District,North West,,,,,,,,
,Ventersdorp,Dr Kenneth Kaunda District,North West,,,,,,,,
,Wolmaransstad,Dr Kenneth Kaunda District,North West,,,,,,,,
,Amalia,Dr Ruth Segomotsi Mompati District,North West,,,,,,,,
,Bloemhof,Dr Ruth Segomotsi Mompati District,North West,,,,,,,,
,Boshoek,Dr Ruth Segomotsi Mompati District,North West,,,,,,,,
,Bray,Dr Ruth Segomotsi Mompati District,North West,,,,,,,,
,Christiana,Dr Ruth Segomotsi Mompati District,North West,,,,,,,,
,Ganyesa,Dr Ruth Segomotsi Mompati District,North West,,,,,,,,
,Huhudi,Dr Ruth Segomotsi Mompati District,North West,,,,,,,,
,Ipelegeng,Dr Ruth Segomotsi Mompati District,North West,,,,,,,,
,Kgomotso,Dr Ruth Segomotsi Mompati District,North West,,,,,,,,
,Mokopong,Dr Ruth Segomotsi Mompati District,North West,,,,,,,,
,Morokweng,Dr Ruth Segomotsi Mompati District,North West,,,,,,,,
,Piet Plessis,Dr Ruth Segomotsi Mompati District,North West,,,,,,,,
,Pudimoe,Dr Ruth Segomotsi Mompati District,North West,,,,,,,,
,Reivilo,Dr Ruth Segomotsi Mompati District,North West,,,,,,,,
,Schweizer-Reneke,Dr Ruth Segomotsi Mompati District,North West,,,,,,,,
,Stella,Dr Ruth Segomotsi Mompati District,North West,,,,,,,,
,Taung,Dr Ruth Segomotsi Mompati District,North West,,,,,,,,
,Vorstershoop,Dr Ruth Segomotsi Mompati District,North West,,,,,,,,
,Vryburg,Dr Ruth Segomotsi Mompati District,North West,,,,,,,,
,Atamelang,Ngaka Modiri Molema District,North West,,,,,,,,
,Biesiesvlei,Ngaka Modiri Molema District,North West,,,,,,,,
,Coligny,Ngaka Modiri Molema District,North West,,,,,,,,
,Delareyville,Ngaka Modiri Molema District,North West,,,,,,,,
,Groot Marico,Ngaka Modiri Molema District,North West,,,,,,,,
,Itsoseng,Ngaka Modiri Molema District,North West,,,,,,,,
,Lehurutshe,Ngaka Modiri Molema District,North West,,,,,,,,
,Lichtenburg,Ngaka Modiri Molema District,North West,,,,,,,,
,Lomanyaneng,Ngaka Modiri Molema District,North West,,,,,,,,
,Madibogo,Ngaka Modiri Molema District,North West,,,,,,,,
,Mahikeng,Ngaka Modiri Molema District,North West,,,,,,,,
,Makgobistad,Ngaka Modiri Molema District,North West,,,,,,,,
,Mareetsane,Ngaka Modiri Molema District,North West,,,,,,,,
,Mmabatho,Ngaka Modiri Molema District,North West,,,,,,,,
,Mooifontein,Ngaka Modiri Molema District,North West,,,,,,,,
,Motswedi,Ngaka Modiri Molema District,North West,,,,,,,,
,Nietverdiend,Ngaka Modiri Molema District,North West,,,,,,,,
,Ottosdal,Ngaka Modiri Molema District,North West,,,,,,,,
,Ottoshoop,Ngaka Modiri Molema District,North West,,,,,,,,
,Sannieshof,Ngaka Modiri Molema District,North West,,,,,,,,
,Setlagole,Ngaka Modiri Molema District,North West,,,,,,,,
,Tshidilamolomo,Ngaka Modiri Molema District,North West,,,,,,,,
,Zeerust,Ngaka Modiri Molema District,North West,,,,,,,,
,Barkly West,Frances Baard District,Northern Cape,,,,,,,,
,Boetsap,Frances Baard District,Northern Cape,,,,,,,,
,Delportshoop,Frances Baard District,Northern Cape,,,,,,,,
,Galeshewe,Frances Baard District,Northern Cape,,,,,,,,
,Hartswater,Frances Baard District,Northern Cape,,,,,,,,
,Jan Kempdorp,Frances Baard District,Northern Cape,,,,,,,,
,Kagisho,Frances Baard District,Northern Cape,,,,,,,,
,Kimberley,Frances Baard District,Northern Cape,,,,,,,,
,Koopmansfontein,Frances Baard District,Northern Cape,,,,,,,,
,Modder River,Frances Baard District,Northern Cape,,,,,,,,
,Pampierstat,Frances Baard District,Northern Cape,,,,,,,,
,Roodepan,Frances Baard District,Northern Cape,,,,,,,,
,Warrenton,Frances Baard District,Northern Cape,,,,,,,,
,Windsorton,Frances Baard District,Northern Cape,,,,,,,,
,Batlharos,John Taolo Gaetsewe District,Northern Cape,,,,,,,,
,Bothithong,John Taolo Gaetsewe District,Northern Cape,,,,,,,,
,Deben,John Taolo Gaetsewe District,Northern Cape,,,,,,,,
,Siyathemba,John Taolo Gaetsewe District,Northern Cape,,,,,,,,
,Heuningvlei,John Taolo Gaetsewe District,Northern Cape,,,,,,,,
,Kathu,John Taolo Gaetsewe District,Northern Cape,,,,,,,,
,Kuruman,John Taolo Gaetsewe District,Northern Cape,,,,,,,,
,Mothibistad,John Taolo Gaetsewe District,Northern Cape,,,,,,,,
,Olifantshoek,John Taolo Gaetsewe District,Northern Cape,,,,,,,,
,Severn,John Taolo Gaetsewe District,Northern Cape,,,,,,,,
,Tsineng,John Taolo Gaetsewe District,Northern Cape,,,,,,,,
,Van Zylsrus,John Taolo Gaetsewe District,Northern Cape,,,,,,,,
,Wrenchville,John Taolo Gaetsewe District,Northern Cape,,,,,,,,
,Aggeneys,Namakwa District,Northern Cape,,,,,,,,
,Alexander Bay,Namakwa District,Northern Cape,,,,,,,,
,Brandvlei,Namakwa District,Northern Cape,,,,,,,,
,Calvinia,Namakwa District,Northern Cape,,,,,,,,
,Fraserburg,Namakwa District,Northern Cape,,,,,,,,
,Garies,Namakwa District,Northern Cape,,,,,,,,
,Hondeklip Bay,Namakwa District,Northern Cape,,,,,,,,
,Kamieskroon,Namakwa District,Northern Cape,,,,,,,,
,Kleinsee,Namakwa District,Northern Cape,,,,,,,,
,Komaggas,Namakwa District,Northern Cape,,,,,,,,
,Loeriesfontein,Namakwa District,Northern Cape,,,,,,,,
,Middelpos,Namakwa District,Northern Cape,,,,,,,,
,Nababeep,Namakwa District,Northern Cape,,,,,,,,
,Nieuwoudtville,Namakwa District,Northern Cape,,,,,,,,
,Onseepkans,Namakwa District,Northern Cape,,,,,,,,
,Pella,Namakwa District,Northern Cape,,,,,,,,
,Pofadder,Namakwa District,Northern Cape,,,,,,,,
,Port Nolloth,Namakwa District,Northern Cape,,,,,,,,
,Springbok,Namakwa District,Northern Cape,,,,,,,,
,Steinkopf,Namakwa District,Northern Cape,,,,,,,,
,Sutherland,Namakwa District,Northern Cape,,,,,,,,
,Vioolsdrif,Namakwa District,Northern Cape,,,,,,,,
,Williston,Namakwa District,Northern Cape,,,,,,,,
,Belmont,Pixley ka Seme District,Northern Cape,,,,,,,,
,Britstown,Pixley ka Seme District,Northern Cape,,,,,,,,
,Campbell,Pixley ka Seme District,Northern Cape,,,,,,,,
,Carnarvon,Pixley ka Seme District,Northern Cape,,,,,,,,
,Colesberg,Pixley ka Seme District,Northern Cape,,,,,,,,
,De Aar,Pixley ka Seme District,Northern Cape,,,,,,,,
,Douglas,Pixley ka Seme District,Northern Cape,,,,,,,,
,Griekwastad,Pixley ka Seme District,Northern Cape,,,,,,,,
,Hanover,Pixley ka Seme District,Northern Cape,,,,,,,,
,Hopetown,Pixley ka Seme District,Northern Cape,,,,,,,,
,Kuyasa,Pixley ka Seme District,Northern Cape,,,,,,,,
,Loxton,Pixley ka Seme District,Northern Cape,,,,,,,,
,Marydale,Pixley ka Seme District,Northern Cape,,,,,,,,
,Niekerkshoop,Pixley ka Seme District,Northern Cape,,,,,,,,
,Norvalspont,Pixley ka Seme District,Northern Cape,,,,,,,,
,Noupoort,Pixley ka Seme District,Northern Cape,,,,,,,,
,Petrusville,Pixley ka Seme District,Northern Cape,,,,,,,,
,Philipstown,Pixley ka Seme District,Northern Cape,,,,,,,,
,Plooysburg,Pixley ka Seme District,Northern Cape,,,,,,,,
,Prieska,Pixley ka Seme District,Northern Cape,,,,,,,,
,Richmond(C),Pixley ka Seme District,Northern Cape,,,,,,,,
,Strydenburg,Pixley ka Seme District,Northern Cape,,,,,,,,
,Sunrise,Pixley ka Seme District,Northern Cape,,,,,,,,
,Vanderkloof,Pixley ka Seme District,Northern Cape,,,,,,,,
,Vanwyksvlei,Pixley ka Seme District,Northern Cape,,,,,,,,
,Victoria West,Pixley ka Seme District,Northern Cape,,,,,,,,
,Vosburg,Pixley ka Seme District,Northern Cape,,,,,,,,
,Augrabies,ZF Mgcawu District,Northern Cape,,,,,,,,
,Danielskuil,ZF Mgcawu District,Northern Cape,,,,,,,,
,Groblershoop,ZF Mgcawu District,Northern Cape,,,,,,,,
,Kakamas,ZF Mgcawu District,Northern Cape,,,,,,,,
,Kanoneiland,ZF Mgcawu District,Northern Cape,,,,,,,,
,Keimoes,ZF Mgcawu District,Northern Cape,,,,,,,,
,Kenhardt,ZF Mgcawu District,Northern Cape,,,,,,,,
,Lime Acres,ZF Mgcawu District,Northern Cape,,,,,,,,
,Noenieput,ZF Mgcawu District,Northern Cape,,,,,,,,
,Pabalello,ZF Mgcawu District,Northern Cape,,,,,,,,
,Postmasburg,ZF Mgcawu District,Northern Cape,,,,,,,,
,Riemvasmaak,ZF Mgcawu District,Northern Cape,,,,,,,,
,Rietfontein,ZF Mgcawu District,Northern Cape,,,,,,,,
,Rosedale,ZF Mgcawu District,Northern Cape,,,,,,,,
,Upington,ZF Mgcawu District,Northern Cape,,,,,,,,
,Witdraai,ZF Mgcawu District,Northern Cape,,,,,,,,
,Ashton,Cape Winelands District,Western Cape,,,,,,,,
,Bonnievale,Cape Winelands District,Western Cape,,,,,,,,
,Ceres,Cape Winelands District,Western Cape,,,,,,,,
,Cloetesville,Cape Winelands District,Western Cape,,,,,,,,
,De Doorns,Cape Winelands District,Western Cape,,,,,,,,
,Franschhoek,Cape Winelands District,Western Cape,,,,,,,,
,Groot-Drakenstein,Cape Winelands District,Western Cape,,,,,,,,
,Klapmuts,Cape Winelands District,Western Cape,,,,,,,,
,Mbekweni,Cape Winelands District,Western Cape,,,,,,,,
,Mcgregor,Cape Winelands District,Western Cape,,,,,,,,
,Montagu,Cape Winelands District,Western Cape,,,,,,,,
,Paarl,Cape Winelands District,Western Cape,,,,,,,,
,Paarl East,Cape Winelands District,Western Cape,,,,,,,,
,Prince Alfred Hamlet,Cape Winelands District,Western Cape,,,,,,,,
,Rawsonville,Cape Winelands District,Western Cape,,,,,,,,
,Robertson,Cape Winelands District,Western Cape,,,,,,,,
,Saron,Cape Winelands District,Western Cape,,,,,,,,
,Stellenbosch,Cape Winelands District,Western Cape,,,,,,,,
,Touws River,Cape Winelands District,Western Cape,,,,,,,,
,Tulbagh,Cape Winelands District,Western Cape,,,,,,,,
,Wellington,Cape Winelands District,Western Cape,,,,,,,,
,Wolseley,Cape Winelands District,Western Cape,,,,,,,,
,Worcester,Cape Winelands District,Western Cape,,,,,,,,
,Beaufort West,Central Karoo District,Western Cape,,,,,,,,
,Laingsburg,Central Karoo District,Western Cape,,,,,,,,
,Leeu Gamka,Central Karoo District,Western Cape,,,,,,,,
,Murraysburg,Central Karoo District,Western Cape,,,,,,,,
,Prince Albert,Central Karoo District,Western Cape,,,,,,,,
,Athlone,City of Cape Town District,Western Cape,,,,,,,,
,Atlantis,City of Cape Town District,Western Cape,,,,,,,,
,Belhar,City of Cape Town District,Western Cape,,,,,,,,
,Bellville,City of Cape Town District,Western Cape,,,,,,,,
,Bellville South,City of Cape Town District,Western Cape,,,,,,,,
,Bishop Lavis,City of Cape Town District,Western Cape,,,,,,,,
,Bothasig,City of Cape Town District,Western Cape,,,,,,,,
,Brackenfell,City of Cape Town District,Western Cape,,,,,,,,
,Camps Bay,City of Cape Town District,Western Cape,,,,,,,,
,Cape Town Central,City of Cape Town District,Western Cape,,,,,,,,
,Claremont,City of Cape Town District,Western Cape,,,,,,,,
,Delft,City of Cape Town District,Western Cape,,,,,,,,
,Dieprivier,City of Cape Town District,Western Cape,,,,,,,,
,Durbanville,City of Cape Town District,Western Cape,,,,,,,,
,Elsies River,City of Cape Town District,Western Cape,,,,,,,,
,Fish Hoek,City of Cape Town District,Western Cape,,,,,,,,
,Goodwood,City of Cape Town District,Western Cape,,,,,,,,
,Gordons Bay,City of Cape Town District,Western Cape,,,,,,,,
,Grassy Park,City of Cape Town District,Western Cape,,,,,,,,
,Gugulethu,City of Cape Town District,Western Cape,,,,,,,,
,Harare,City of Cape Town District,Western Cape,,,,,,,,
,Hout Bay,City of Cape Town District,Western Cape,,,,,,,,
,Kensington,City of Cape Town District,Western Cape,,,,,,,,
,Khayelitsha,City of Cape Town District,Western Cape,,,,,,,,
,Kirstenhof,City of Cape Town District,Western Cape,,,,,,,,
,Kleinvlei,City of Cape Town District,Western Cape,,,,,,,,
,Kraaifontein,City of Cape Town District,Western Cape,,,,,,,,
,Kuilsrivier,City of Cape Town District,Western Cape,,,,,,,,
,Langa,City of Cape Town District,Western Cape,,,,,,,,
,Lansdowne,City of Cape Town District,Western Cape,,,,,,,,
,Lentegeur,City of Cape Town District,Western Cape,,,,,,,,
,Lingelethu-West,City of Cape Town District,Western Cape,,,,,,,,
,Lwandle,City of Cape Town District,Western Cape,,,,,,,,
,Macassar,City of Cape Town District,Western Cape,,,,,,,,
,Maitland,City of Cape Town District,Western Cape,,,,,,,,
,Makhaza,City of Cape Town District,Western Cape,,,,,,,,
,Manenberg,City of Cape Town District,Western Cape,,,,,,,,
,Melkbosstrand,City of Cape Town District,Western Cape,,,,,,,,
,Mfuleni,City of Cape Town District,Western Cape,,,,,,,,
,Milnerton,City of Cape Town District,Western Cape,,,,,,,,
,Mitchells Plain,City of Cape Town District,Western Cape,,,,,,,,
,Mowbray,City of Cape Town District,Western Cape,,,,,,,,
,Muizenberg,City of Cape Town District,Western Cape,,,,,,,,
,Nyanga,City of Cape Town District,Western Cape,,,,,,,,
,Ocean View,City of Cape Town District,Western Cape,,,,,,,,
,Parow,City of Cape Town District,Western Cape,,,,,,,,
,Philadelphia,City of Cape Town District,Western Cape,,,,,,,,
,Philippi,City of Cape Town District,Western Cape,,,,,,,,
,Philippi East,City of Cape Town District,Western Cape,,,,,,,,
,Pinelands,City of Cape Town District,Western Cape,,,,,,,,
,Ravensmead,City of Cape Town District,Western Cape,,,,,,,,
,Rondebosch,City of Cape Town District,Western Cape,,,,,,,,
,Samora Machel,City of Cape Town District,Western Cape,,,,,,,,
,Sea Point,City of Cape Town District,Western Cape,,,,,,,,
,Simon's Town,City of Cape Town District,Western Cape,,,,,,,,
,Somerset West,City of Cape Town District,Western Cape,,,,,,,,
,Steenberg,City of Cape Town District,Western Cape,,,,,,,,
,Strand,City of Cape Town District,Western Cape,,,,,,,,
,Strandfontein,City of Cape Town District,Western Cape,,,,,,,,
,Table Bay Harbour,City of Cape Town District,Western Cape,,,,,,,,
